step,time_years,spot,log_return,simple_return,realized_volatility
27,0.0013736263736263735,99.89166810260922,0.0008360972636013039,0.0008364468903523381,0.17455827186697942
28,0.0014245014245014244,99.94904781013147,0.0005742544389621085,0.0005744193546086684,0.17215405825752603
29,0.0014753764753764754,100.01388169672677,0.0006484590821615857,0.0006486693772056462,0.17001676538514676
30,0.0015262515262515263,100.0815983243873,0.0006768431774519221,0.0006770722874829271,0.1680139722766474
31,0.001577126577126577,100.4185839318716,0.0033614525533327303,0.0033671085706692416,0.18479853146554087
32,0.001628001628001628,100.35464389167002,-0.0006369379329740739,-0.0006367351310685443,0.18285002675738932
33,0.0016788766788766788,100.27409130234791,-0.0008030015597976682,-0.000802679240325288,0.181383598742581
34,0.0017297517297517296,100.14620723996568,-0.0012761589586301812,-0.001275345014064011,0.18156543693216598
35,0.0017806267806267804,100.24313471898682,0.0009673916350311476,0.0009678597092437347,0.18025523189592818
36,0.0018315018315018315,100.42096059845346,0.0017723741333585195,0.001773945716733616,0.18202632935750285
37,0.0018823768823768823,100.40308713663086,-0.00017800121122344553,-0.00017798536994773073,0.17967205132635486
38,0.0019332519332519332,100.27088715166506,-0.001317560032975603,-0.001316692431836075,0.18014907343960826
39,0.001984126984126984,100.14132442327285,-0.0012929625936846441,-0.0012921270776861116,0.18272666419292177
40,0.002035002035002035,100.24369175401645,0.001021706528776018,0.0010222286486940568,0.18380994226510816
41,0.0020858770858770857,100.36075543916287,0.0011671097034235496,0.0011677910409928494,0.18128844187060236
42,0.0021367521367521365,100.44641126131938,0.0008531152424392437,0.0008534792487533416,0.1804530068047761
43,0.0021876271876271874,100.34164946412221,-0.001043506335237072,-0.0010429620718317434,0.1794723030946648
44,0.002238502238502238,100.37829176188994,0.0003651086977297605,0.00036517535802294,0.16463430321219188
45,0.0022893772893772895,100.39675361476984,0.00018390585241646074,0.00018392276413448094,0.15679014710893543
46,0.0023402523402523403,100.43129277001808,0.0003439674508669447,0.00034402661445387395,0.15682636344665046
47,0.002391127391127391,100.56880091444667,0.001368239818799757,0.0013691762859557866,0.1581424747994819
48,0.002442002442002442,100.60417390091948,0.00035166738345231564,0.00035172922567561216,0.15803500416054264
49,0.002492877492877493,100.71148995267927,0.001066147162827311,0.0010667156997437033,0.15468217957520186
50,0.0025437525437525437,100.72225136121604,0.00010684812263077487,0.0001068538310946554,0.15278108477919475
51,0.0025946275946275945,100.76803868423715,0.00045448665341584935,0.00045458994812297426,0.15131030193829734
52,0.0026455026455026454,100.86799107074268,0.0009914140326399005,0.0009919056459826159,0.1521336520168786
53,0.002696377696377696,100.63769553178145,-0.0022857482894082797,-0.0022831379560208642,0.1587869294335298
54,0.002747252747252747,100.58730672348504,-0.0005008205619068962,-0.0005006951722227315,0.15898960403669943
55,0.002798127798127798,100.51317108385227,-0.0007372995211104781,-0.0007370277826068694,0.15658555081532527
56,0.0028490028490028487,100.41253585167384,-0.0010017159290207948,-0.001001214379103721,0.15844376655753592
57,0.0028998778998778996,100.36927277129377,-0.0004309462231297949,-0.0004308533791436142,0.15451538584708627
58,0.002950752950752951,100.6050807455426,0.002346648498516693,0.0023494040331066834,0.15991535350066433
59,0.0030016280016280017,100.46856700307836,-0.0013578483801084706,-0.0013569269211112234,0.16351933683260902
60,0.0030525030525030525,100.62141698448067,0.0015202150580387898,0.0015213711707224853,0.166054396978914
61,0.0031033781033781033,100.35613320151586,-0.0026399360206017415,-0.0026364544538836077,0.17569691770254978
62,0.003154253154253154,100.30349076210003,-0.0005246939028760691,-0.0005245562751020616,0.1714984940381115
63,0.003205128205128205,100.3291912125849,0.00025619405943715497,0.0002562268799379819,0.17136554517553118
