step,time_years,spot,log_return,realized_volatility,time_to_maturity,option_fair_value,option_bid,option_ask,option_mid,option_spread,option_delta,option_gamma,option_vega,option_theta,option_rho,option_inventory,stock_position,net_delta,hedge_error,option_cash,hedge_cash,cash,option_market_value,stock_market_value,gross_exposure,portfolio_value
20,0.0010175010175010174,99.89830608039077,-7.753933819686108e-05,0.18659826535665863,0.11803011803011802,3.0770051719656593,3.0700000000000003,3.11,3.09,0.03999999999999959,0.5221545286965964,0.052754861023481564,13.67081020448582,-13.722430658472938,5.7935493893115355,-12,626.5854344359158,0.0,0.0,3719.600000000001,-62506.162328557504,-58786.562328557506,-3692.406206358791,62594.82351479374,66287.22972115253,115.8549798774402
21,0.0010683760683760683,99.86941167149635,-0.0002892800640778984,0.18224348717217745,0.11797924297924298,3.0612418612012817,3.06,3.1,3.08,0.040000000000000036,0.5206224170542721,0.052792390277537085,13.66672938026283,-13.721073187903267,5.773079787135225,-6,312.3734502325633,0.0,0.0,1883.480000000001,-31127.56533433531,-29244.085334335312,-1836.7451167207691,31196.552696521543,33033.297813242316,115.72224546546204
22,0.001119251119251119,99.7628377092455,-0.0010677029658867625,0.18047682703583776,0.11792836792836792,3.005359775059688,2.99,3.0300000000000002,3.0100000000000002,0.040000000000000036,0.5149826148447023,0.05289358815851278,13.657826338127043,-13.707020951287072,5.7042856375627276,-6,312.3734502325633,3.3838813257419247,3.3838813257419247,1883.480000000001,-31127.56533433531,-29244.085334335312,-1803.2158650358128,31163.26182022829,32966.4776852641,115.96062085716403
23,0.0011701261701261702,99.95448655472272,0.0019192016016547513,0.18575692655804782,0.11787749287749287,3.1043271274650124,3.09,3.13,3.11,0.040000000000000036,0.5250975230731575,0.05273623371925901,13.663666924709984,-13.738184722152162,5.82097050085373,-6,312.3734502325633,-2.685063611331202,-2.685063611331202,1883.480000000001,-31127.56533433531,-29244.085334335312,-1862.5962764790074,31223.127831323094,33085.7241078021,116.4462205087766
24,0.001221001221001221,99.93033226783965,-0.00024168205612611735,0.1819530147474332,0.11782661782661782,3.090960315255799,3.08,3.12,3.1,0.040000000000000036,0.5238167152694426,0.05277077880135043,13.660111960621379,-13.737825154863017,5.803457931129495,-10,523.8167152694426,0.0,0.0,3131.400000000001,-52258.217545054096,-49126.817545054095,-3090.9603152557993,52345.17840432376,55436.138719579554,127.40054401386442
25,0.0012718762718762718,99.8632692248969,-0.0006713232552026913,0.17915251947375507,0.11777574277574276,3.0552517798890406,3.0500000000000003,3.09,3.0700000000000003,0.03999999999999959,0.5202681731288882,0.052843638462517266,13.654720162932882,-13.73122229106579,5.759284331324638,-5,260.1340865644441,0.0,0.0,1606.3000000000009,-25927.324815225318,-24321.02481522532,-1527.6258899445204,25977.840321157713,27505.466211102234,129.18961598787428
26,0.0013227513227513227,99.80818385758984,-0.0005517600824168911,0.17618895873283777,0.11772486772486772,3.025974598307137,3.0100000000000002,3.0500000000000003,3.0300000000000002,0.040000000000000036,0.5173478180403649,0.05290250813280971,13.648956850097278,-13.7255313370855,5.722555380060819,-1,51.73478180403649,0.0,0.0,402.22000000000094,-5128.408687710926,-4726.188687710925,-302.59745983071366,5163.554614129567,5466.152073960281,134.76846658792874
27,0.0013736263736263735,99.89166810260922,0.0008360972636013039,0.17455827186697942,0.11767399267399267,3.068650266562507,3.0500000000000003,3.09,3.0700000000000003,0.03999999999999959,0.5217541739445478,0.052841063642980766,13.650018882644675,-13.740851335171204,5.771938112922219,-1,51.73478180403649,-0.4406355904182959,-0.4406355904182959,402.22000000000094,-5128.408687710926,-4726.188687710925,-306.86502665625073,5167.87365332972,5474.7386799859705,134.81993896254426
28,0.0014245014245014244,99.94904781013147,0.0005742544389621085,0.17215405825752603,0.11762311762311761,3.0979757974653737,3.08,3.12,3.1,0.040000000000000036,0.5247781357602358,0.05279874926896813,13.64885826852669,-13.751341998319893,5.8050653903081075,-4,209.9112543040943,0.0,0.0,1338.160000000001,-20938.78697944777,-19600.62697944777,-1239.1903189861496,20980.42999232459,22219.62031131074,140.61269389067093
29,0.0014753764753764754,100.01388169672677,0.0006484590821615857,0.17001676538514676,0.11757224257224257,3.131410058036522,3.12,3.16,3.14,0.040000000000000036,0.5281934460300725,0.05274586136919883,13.646976331620511,-13.76194789057137,5.842783958928156,-4,209.9112543040943,-1.3661241079346667,-1.3661241079346667,1338.160000000001,-20938.78697944777,-19600.62697944777,-1252.5640232146088,20994.039354781216,22246.603377995823,140.84835211883546
